cds14,ag_year,ag_cohort,ag_met_uccsu_count,ag_met_uccsu_rate
12101240106161,2016-17,27,0,0.0
12101240134163,2016-17,24,24,100.0
12626870107110,2016-17,21,3,14.3
12626871230044,2016-17,25,0,0.0
12626871230051,2016-17,26,0,0.0
12626871230705,2016-17,178,98,58.7
12626871235209,2016-17,127,62,52.5
12628100108688,2016-17,37,27,79.4
12628101233352,2016-17,62,0,0.0
12628101233402,2016-17,161,57,39.0
12629011230028,2016-17,16,4,26.7
12629011234004,2016-17,51,0,0.0
12629271230150,2016-17,21,0,0.0
12630320111203,2016-17,54,5,11.6
12630401237007,2016-17,37,4,11.1
12753741232909,2016-17,37,11,30.6
12753821230135,2016-17,69,3,5.8
12755150000000,2016-17,42,0,0.0
12755151232057,2016-17,44,0,0.0
12755151232206,2016-17,219,70,34.0
13101320131094,2016-17,52,0,0.0
13101320134379,2016-17,35,0,0.0
13101326069272,2016-17,15,0,0.0
13630811331354,2016-17,87,0,0.0
13630811331404,2016-17,421,134,33.3
13630991332154,2016-17,103,0,0.0
13630991332204,2016-17,681,178,27.7
13631071332501,2016-17,87,34,42.5
13631151330133,2016-17,447,164,39.9
13631151333004,2016-17,459,124,29.0
13631151333558,2016-17,63,0,0.0
13631491335306,2016-17,135,57,43.5
13631491337138,2016-17,11,0,0.0
13631641331115,2016-17,33,0,0.0
13631641335900,2016-17,283,103,37.7
13632141330018,2016-17,14,0,0.0
13632141337609,2016-17,38,3,8.6
14101400117994,2016-17,447,0,0.0
14101400128447,2016-17,132,0,0.0
14101400128454,2016-17,169,26,50.0
14632891434901,2016-17,23,1,4.8
14766870119081,2016-17,16,0,0.0
14766871430057,2016-17,27,0,0.0
14766871431600,2016-17,131,69,56.1
15101570119669,2016-17,85,66,78.6
15101571530302,2016-17,199,0,0.0
15101571530310,2016-17,446,0,0.0
15101571530492,2016-17,56,10,20.0
15634120100529,2016-17,310,172,58.1
15634120116384,2016-17,212,108,55.4
15634121531656,2016-17,92,0,0.0
15634121531672,2016-17,353,192,57.5
15635290100198,2016-17,587,201,37.4
15635290110999,2016-17,553,247,46.5
15635290116392,2016-17,495,195,41.4
15635290116400,2016-17,540,219,43.6
15635290125062,2016-17,165,0,0.0
15635291530021,2016-17,39,0,0.0
15635291530047,2016-17,58,0,0.0
15635291530112,2016-17,161,0,0.0
15635291530252,2016-17,541,153,31.4
15635291530344,2016-17,530,302,59.3
15635291530369,2016-17,497,248,53.1
15635291530385,2016-17,612,285,50.1
15635291530435,2016-17,183,0,0.0
15635291530476,2016-17,501,266,55.8
15635291530708,2016-17,646,169,29.6
15635291532290,2016-17,496,128,29.2
15635291532605,2016-17,495,110,24.7
15635291533330,2016-17,442,197,49.5
15635291533538,2016-17,103,23,25.0
15635291534775,2016-17,365,82,25.1
15635291535087,2016-17,342,102,32.1
15635291535392,2016-17,467,167,39.0
15635291536325,2016-17,159,0,0.0
15635291536606,2016-17,453,99,24.8
15636280127183,2016-17,107,4,4.6
15636280127209,2016-17,210,1,1.1
15636280134312,2016-17,37,0,0.0
15636281533843,2016-17,18,0,0.0
15636770114512,2016-17,105,25,29.8
15636771534460,2016-17,37,4,12.1
15636851530997,2016-17,42,9,23.1
15636851531987,2016-17,85,33,38.8
15637761530039,2016-17,24,0,0.0
15637761530377,2016-17,40,0,0.0
15637761534957,2016-17,181,33,19.1
15638181530138,2016-17,16,0,0.0
15638181535905,2016-17,233,54,24.1
15638261530245,2016-17,33,0,0.0
15638261536135,2016-17,280,82,31.7
15638591530351,2016-17,80,0,0.0
15638591536440,2016-17,367,148,44.2
15737421530054,2016-17,50,0,0.0
15737421531367,2016-17,286,78,27.9
15739081530146,2016-17,19,0,0.0
15739081534155,2016-17,206,96,47.1
15751681530401,2016-17,81,13,18.3
16101651630102,2016-17,27,0,0.0
16101651630193,2016-17,23,0,0.0
16101656069298,2016-17,21,0,0.0
16638750101717,2016-17,41,0,0.0
16638750112698,2016-17,75,6,13.3
16638911632140,2016-17,15,0,0.0
16638911632207,2016-17,156,54,36.5
16639250118919,2016-17,196,101,53.7
16639251630060,2016-17,33,1,6.3
16639251630169,2016-17,290,145,50.7
16639251634245,2016-17,49,0,0.0
16639251634401,2016-17,332,155,48.1
16639580132860,2016-17,233,0,0.0
16639820110205,2016-17,55,49,94.2
16639821630011,2016-17,67,0,0.0
16639821635606,2016-17,443,167,41.2
16739321630078,2016-17,14,1,10.0
16739321630953,2016-17,135,65,50.0
17640141730043,2016-17,13,0,0.0
17640141734359,2016-17,126,25,21.7
17640220132571,2016-17,14,3,23.1
17640221730027,2016-17,59,0,0.0
17640221730118,2016-17,14,0,0.0
17640221735000,2016-17,140,27,25.7
17640301730019,2016-17,29,0,0.0
17640301732304,2016-17,89,40,46.0
17640550129601,2016-17,23,7,50.0
17640551730035,2016-17,18,0,0.0
17640551736008,2016-17,109,36,36.4
17769761730050,2016-17,16,0,0.0
17769761737006,2016-17,60,17,35.4
18640891831601,2016-17,13,8,66.7
18641391833805,2016-17,201,34,17.8
18641620120287,2016-17,28,0,0.0
18641626010763,2016-17,48,2,4.9
18642041830132,2016-17,56,0,0.0
18642041838507,2016-17,14,3,25.0
18750360121657,2016-17,15,0,0.0
18750361833409,2016-17,17,3,18.8
19101990109942,2016-17,66,51,100.0
19101990112128,2016-17,127,118,100.0
19101990121822,2016-17,132,0,0.0
19101990121871,2016-17,78,0,0.0
19101990121897,2016-17,94,0,0.0
19101990121921,2016-17,37,0,0.0
19101990121970,2016-17,35,0,0.0
19101990121988,2016-17,16,0,0.0
19101990122010,2016-17,14,0,0.0
19101990122028,2016-17,27,0,0.0
19101990122036,2016-17,26,0,0.0
19101990122044,2016-17,23,0,0.0
19101990123604,2016-17,13,0,0.0
19101990127274,2016-17,21,0,0.0
19101990127522,2016-17,50,0,0.0
19101991933399,2016-17,153,93,65.5
19101991995232,2016-17,52,0,0.0
19101991995257,2016-17,13,0,0.0
19101991995869,2016-17,134,49,37.4
19101991996008,2016-17,502,1,1.1
19101991996172,2016-17,39,0,0.0
19101991996214,2016-17,90,0,0.0
19642120000000,2016-17,12,1,16.7
19642121930056,2016-17,526,359,71.4
19642121930361,2016-17,320,157,51.8
19642121931641,2016-17,150,1,1.1
19642121931880,2016-17,162,160,99.4
19642121933159,2016-17,481,232,49.7
19642121995596,2016-17,48,0,0.0
19642460100081,2016-17,674,250,41.5
19642460108407,2016-17,482,177,40.8
19642460111872,2016-17,89,82,92.1
19642460115337,2016-17,46,0,0.0
19642461930213,2016-17,454,155,40.3
19642461931732,2016-17,254,0,0.0
19642461936624,2016-17,579,163,33.6
19642461937051,2016-17,690,273,42.4
19642461995398,2016-17,706,197,30.3
19642461995406,2016-17,322,85,31.0
19642461995844,2016-17,470,127,30.9
19642461995968,2016-17,16,0,0.0
19642461996537,2016-17,732,1,0.8
19642461996644,2016-17,264,1,1.6
19642611930288,2016-17,852,606,72.4
19642611995299,2016-17,32,0,0.0
19642791930528,2016-17,284,120,45.3
19642791931765,2016-17,113,0,0.0
19642791933449,2016-17,265,84,35.4
19642870114397,2016-17,1282,58,34.7
19642871930601,2016-17,450,145,34.1
19642871936384,2016-17,213,0,0.0
19642871938166,2016-17,431,183,43.8
19642871996479,2016-17,713,78,63.4
19642951930700,2016-17,246,96,40.2
19642951936491,2016-17,29,0,0.0
19643031930775,2016-17,370,117,32.8
19643031935618,2016-17,493,239,50.6
19643031938190,2016-17,157,0,0.0
19643111930981,2016-17,370,231,65.6
19643111931021,2016-17,19,0,0.0
19643291931088,2016-17,476,312,66.4
19643291937598,2016-17,67,0,0.0
19643291937739,2016-17,343,170,51.4
19643371931187,2016-17,654,327,51.8
19643371931237,2016-17,584,306,53.3
19643371933332,2016-17,83,0,0.0
19643371996099,2016-17,249,9,16.7
19643520118521,2016-17,42,2,13.3
19643520128488,2016-17,148,20,90.9
19643520128496,2016-17,483,16,100.0
19643521930239,2016-17,127,0,0.0
19643521933951,2016-17,440,101,28.0
19643521934926,2016-17,490,211,46.4
19643521935048,2016-17,507,212,45.3
19643781930312,2016-17,43,0,0.0
19643781931666,2016-17,390,178,46.6
19643781995885,2016-17,16,0,0.0
19643941931807,2016-17,32,0,0.0
19643941931823,2016-17,600,447,77.2
19644361931617,2016-17,88,0,0.0
19644361932086,2016-17,337,228,69.9
19644361936418,2016-17,325,220,69.2
