cds14,cupc_year,enroll_9_12,upp_pct,lcff_plus_flag
16639251630169,2016-2017,1319,61.71,N
16639251634245,2016-2017,87,74.71,N
16639251634401,2016-2017,1506,63.41,N
16639580132860,2016-2017,449,88.2,Y
16639820110205,2016-2017,240,24.17,N
16639821630011,2016-2017,86,67.44,N
16639821635606,2016-2017,1855,49.76,N
16739321630078,2016-2017,33,90.91,Y
16739321630110,2016-2017,2,100.0,Y
16739321630185,2016-2017,5,100.0,Y
16739321630953,2016-2017,633,92.89,Y
17101730128231,2016-2017,6,33.33,N
17101731730167,2016-2017,16,87.5,Y
17640141730043,2016-2017,18,77.78,Y
17640141730159,2016-2017,6,83.33,Y
17640141734359,2016-2017,524,68.32,N
17640146107791,2016-2017,4,50.0,N
17640220107706,2016-2017,26,57.69,N
17640220132571,2016-2017,113,72.57,N
17640221730027,2016-2017,85,83.53,Y
17640221730118,2016-2017,21,80.95,Y
17640221735000,2016-2017,678,64.6,N
17640300114215,2016-2017,3,33.33,N
17640301730019,2016-2017,18,66.67,N
17640301730142,2016-2017,17,23.53,N
17640301732304,2016-2017,399,48.87,N
17640550129601,2016-2017,87,26.44,N
17640551730035,2016-2017,13,92.31,Y
17640551736008,2016-2017,478,58.58,N
17769761730050,2016-2017,20,70.0,N
17769761737006,2016-2017,290,74.14,N
18101811830058,2016-2017,1,100.0,Y
18101816069934,2016-2017,2,0.0,N
18640891831601,2016-2017,59,54.24,N
18641390131953,2016-2017,8,100.0,Y
18641391833805,2016-2017,798,29.82,N
18641620120287,2016-2017,100,50.0,N
18641626010763,2016-2017,137,70.07,N
18642041830132,2016-2017,111,87.39,Y
18642041838507,2016-2017,50,66.0,N
18750360121657,2016-2017,50,46.0,N
18750361833409,2016-2017,52,51.92,N
19101990109942,2016-2017,219,77.63,Y
19101990112128,2016-2017,517,92.26,Y
19101990121822,2016-2017,199,100.0,Y
19101990121871,2016-2017,172,100.0,Y
19101990121897,2016-2017,211,100.0,Y
19101990121905,2016-2017,54,100.0,Y
19101990121921,2016-2017,83,100.0,Y
19101990121939,2016-2017,52,100.0,Y
19101990121970,2016-2017,46,100.0,Y
19101990121988,2016-2017,27,100.0,Y
19101990121996,2016-2017,27,100.0,Y
19101990122010,2016-2017,42,100.0,Y
19101990122028,2016-2017,31,100.0,Y
19101990122036,2016-2017,24,100.0,Y
19101990122044,2016-2017,58,100.0,Y
19101990122077,2016-2017,37,100.0,Y
19101990123604,2016-2017,46,100.0,Y
19101990127274,2016-2017,108,54.63,N
19101990127522,2016-2017,132,97.73,Y
19101990134346,2016-2017,44,59.09,N
19101991933399,2016-2017,565,8.85,N
19101991995232,2016-2017,192,54.69,N
19101991995257,2016-2017,51,62.75,N
19101991995869,2016-2017,556,30.22,N
19101991996008,2016-2017,1038,84.59,Y
19101991996172,2016-2017,75,97.33,Y
19101991996214,2016-2017,160,97.5,Y
19642121930056,2016-2017,2180,31.83,N
19642121930361,2016-2017,1414,76.94,Y
19642121931641,2016-2017,315,71.11,N
19642121931880,2016-2017,680,18.09,N
19642121933159,2016-2017,2019,55.52,N
19642121995596,2016-2017,69,62.32,N
19642460100081,2016-2017,2975,78.02,Y
19642460108407,2016-2017,2283,82.44,Y
19642460111872,2016-2017,406,57.88,N
19642460115337,2016-2017,201,49.75,N
19642460126003,2016-2017,36,11.11,N
19642461930213,2016-2017,1873,85.21,Y
19642461931732,2016-2017,678,69.03,N
19642461936624,2016-2017,2664,82.28,Y
19642461937051,2016-2017,3032,37.4,N
19642461995398,2016-2017,2886,62.99,N
19642461995406,2016-2017,1502,85.02,Y
19642461995844,2016-2017,2425,63.92,N
19642461995968,2016-2017,63,84.13,Y
19642461996537,2016-2017,1711,86.44,Y
19642461996644,2016-2017,723,65.42,N
19642611930288,2016-2017,3385,25.79,N
19642611995299,2016-2017,32,46.88,N
19642791930528,2016-2017,1270,78.35,Y
19642791931765,2016-2017,174,86.78,Y
19642791933449,2016-2017,1200,76.25,Y
19642870114397,2016-2017,2688,85.27,Y
19642871930601,2016-2017,1962,85.12,Y
19642871936384,2016-2017,308,90.91,Y
19642871938166,2016-2017,1959,86.01,Y
19642871996479,2016-2017,1207,74.23,N
19642951930700,2016-2017,1066,85.46,Y
19642951936491,2016-2017,45,88.89,Y
19643030128306,2016-2017,10,40.0,N
19643031930775,2016-2017,1685,75.19,Y
19643031935618,2016-2017,1947,50.54,N
19643031938190,2016-2017,205,73.66,N
19643031995679,2016-2017,14,92.86,Y
19643111930981,2016-2017,1482,9.72,N
19643111931021,2016-2017,11,9.09,N
19643291931088,2016-2017,2017,28.66,N
19643291937598,2016-2017,75,81.33,Y
19643291937739,2016-2017,1398,34.69,N
19643291995893,2016-2017,14,92.86,Y
19643370131573,2016-2017,35,22.86,N
19643371931187,2016-2017,2582,36.48,N
19643371931237,2016-2017,2600,29.0,N
19643371933332,2016-2017,149,38.93,N
19643371995877,2016-2017,18,50.0,N
19643371996099,2016-2017,824,79.49,Y
19643371996230,2016-2017,22,59.09,N
19643520118521,2016-2017,54,85.19,Y
19643520128488,2016-2017,606,44.22,N
19643520128496,2016-2017,527,21.44,N
19643521930239,2016-2017,198,83.33,Y
19643521933951,2016-2017,2009,85.17,Y
19643521934926,2016-2017,2193,81.99,Y
19643521935048,2016-2017,1911,87.44,Y
19643781930312,2016-2017,73,65.75,N
19643781931666,2016-2017,1566,51.02,N
19643781995885,2016-2017,22,27.27,N
19643781995927,2016-2017,5,80.0,Y
19643941931807,2016-2017,82,56.1,N
19643941931823,2016-2017,2405,32.81,N
19643941996297,2016-2017,11,90.91,Y
19644361931617,2016-2017,159,79.87,Y
19644361932086,2016-2017,1270,71.42,N
19644361936418,2016-2017,1314,69.79,N
19644361938372,2016-2017,1647,54.83,N
19644440128322,2016-2017,17,23.53,N
19644441932201,2016-2017,2076,35.6,N
19644441932656,2016-2017,38,50.0,N
19644511931625,2016-2017,228,75.88,Y
19644511932441,2016-2017,4213,66.84,N
19644511939164,2016-2017,3678,68.16,N
19644690128736,2016-2017,282,73.05,N
19644691932482,2016-2017,937,68.52,N
19644691936079,2016-2017,55,80.0,Y
19645191930320,2016-2017,2205,85.35,Y
19645191932664,2016-2017,1866,95.07,Y
19645191932680,2016-2017,1355,94.98,Y
19645191937481,2016-2017,1722,84.2,Y
19645191938919,2016-2017,359,93.04,Y
19645191995661,2016-2017,1355,90.92,Y
19645191996123,2016-2017,33,93.94,Y
19645270133835,2016-2017,71,77.46,Y
19645271932698,2016-2017,189,66.67,N
19645271932706,2016-2017,2484,73.95,N
19645351930353,2016-2017,38,21.05,N
19645351932763,2016-2017,1191,13.27,N
19645681932144,2016-2017,2660,19.17,N
19645681933472,2016-2017,207,73.91,N
19645681933530,2016-2017,2307,69.79,N
19645681934082,2016-2017,1637,64.2,N
19645681995497,2016-2017,76,25.0,N
19645681996131,2016-2017,1105,52.67,N
19645681996156,2016-2017,2,100.0,Y
19645686099022,2016-2017,40,35.0,N
19645761933597,2016-2017,2570,23.31,N
19645761939677,2016-2017,51,49.02,N
19645841996305,2016-2017,854,36.65,N
19645920100354,2016-2017,568,76.76,Y
19646341934231,2016-2017,876,76.6,Y
19646341934249,2016-2017,78,94.87,Y
19646341936046,2016-2017,818,85.94,Y
19646341996529,2016-2017,302,79.14,Y
19646341996586,2016-2017,646,91.8,Y
19646591934611,2016-2017,1389,3.67,N
19646830116129,2016-2017,1,100.0,Y
19646831930080,2016-2017,2087,7.28,N
19646831931260,2016-2017,29,24.14,N
19646831931781,2016-2017,1999,10.26,N
19646911996438,2016-2017,512,82.23,Y
19647090100602,2016-2017,573,91.45,Y
19647091996313,2016-2017,649,93.99,Y
19647250101741,2016-2017,8,75.0,Y
19647250125153,2016-2017,149,91.28,Y
19647250127381,2016-2017,732,44.4,N
19647250131938,2016-2017,54,96.3,Y
19647250132324,2016-2017,224,40.62,N
