campus,ceeb,cds14,school_name,city,county,applicants_2325,admits_2325,admit_rate_2325,ela_pct_met_avg,math_pct_met_avg,avg_pct_met,upp_pct_2425,lcff_plus,ag_cohort_2425,ag_met_2425,admits_per_eligible,match_method,match_score
Berkeley,051361,21654822132587,REDWOOD HIGH SCHOOL,Larkspur,Marin,589,78,13.24,74.46,61.31,67.88,9.18,N,415,364,0.2143,gardiner_seed,1.00
Berkeley,053163,41690474130217,ARAGON HIGH SCHOOL,San Mateo,San Mateo,579,77,13.3,80.98,59.13,70.05,18.64,N,445,353,0.2181,gardiner_seed,1.00
Berkeley,052910,38684783833241,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,573,86,15.01,61.97,40.81,51.39,58.87,N,505,304,0.2829,gardiner_seed,1.00
Berkeley,053091,43696664333522,LELAND HIGH SCHOOL,San Jose,Santa Clara,566,101,17.84,85.16,75.35,80.26,13.26,N,387,283,0.3569,gardiner_seed,1.00
Berkeley,051313,19645681932144,CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,563,91,16.16,80.29,54.59,67.44,40.24,N,624,439,0.2073,gardiner_seed,1.00
Berkeley,053266,30103063030723,ORANGE COUNTY HS OF THE ARTS,Santa Ana,Orange,556,92,16.55,89.04,68.88,78.96,17.94,N,392,341,0.2698,gardiner_seed,1.00
Berkeley,050969,01612420134668,JAMES LOGAN HIGH SCHOOL,Union City,Alameda,551,64,11.62,62.3,33.89,48.09,56.91,N,780,389,0.1645,gardiner_seed,1.00
Berkeley,051274,30736503030285,WOODBRIDGE HIGH SCHOOL,Irvine,Orange,539,74,13.73,76.63,58.26,67.44,29.44,N,550,373,0.1984,gardiner_seed,1.00
Berkeley,052945,38684783831765,GALILEO ACAD OF SCIENCE & TECH,San Francisco,San Francisco,527,65,12.33,64.34,46.63,55.48,70.74,N,424,247,0.2632,gardiner_seed,1.00
Berkeley,051008,30665143037348,SUNNY HILLS HIGH SCHOOL,Fullerton,Orange,526,75,14.26,79.39,62.57,70.98,50.49,N,613,451,0.1663,gardiner_seed,1.00
Berkeley,054078,33670330110627,ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,524,59,11.26,71.35,51.46,61.41,66.74,N,1064,746,0.0791,gardiner_seed,1.00
Berkeley,050170,41690624133716,MENLO ATHERTON HIGH SCHOOL,Atherton,San Mateo,518,74,14.29,69.49,51.22,60.36,37.16,N,537,319,0.232,gardiner_seed,1.00
Berkeley,052240,01612590136051,OAKLAND TECHNICAL HIGH SCHOOL,Oakland,Alameda,508,70,13.78,54.13,32.64,43.39,70.64,N,449,337,0.2077,gardiner_seed,1.00
Berkeley,051975,21654822133692,TAMALPAIS HIGH SCHOOL,Mill Valley,Marin,504,83,16.47,75.52,56.74,66.13,12.59,N,420,360,0.2306,gardiner_seed,1.00
Berkeley,050005,01611190130229,ALAMEDA HIGH SCHOOL,Alameda,Alameda,500,61,12.2,79.12,53.61,66.37,32.66,N,475,346,0.1763,gardiner_seed,1.00
Berkeley,051271,30736503030152,IRVINE HIGH SCHOOL,Irvine,Orange,491,50,10.18,71.71,61.71,66.71,27.34,N,516,351,0.1425,gardiner_seed,1.00
Berkeley,050563,36676783630522,RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino,485,87,17.94,76.98,54.28,65.63,47.86,N,654,526,0.1654,gardiner_seed,1.00
Berkeley,051312,19646591934611,LA CANADA HIGH SCHOOL,La Canada,Los Angeles,484,59,12.19,91.72,80.99,86.35,5.23,N,356,323,0.1827,gardiner_seed,1.00
Berkeley,051480,19647251936947,LONG BEACH POLYTECHNIC HS,Long Beach,Los Angeles,484,116,23.97,53.72,27.09,40.41,63.16,N,1025,514,0.2257,gardiner_seed,1.00
Berkeley,053495,19650521938679,TEMPLE CITY HIGH SCHOOL,Temple City,Los Angeles,479,81,16.91,74.71,59.01,66.86,42.72,N,431,313,0.2588,gardiner_seed,1.00
Berkeley,053676,19734601939149,WALNUT HIGH SCHOOL,Walnut,Los Angeles,477,54,11.32,78.17,62.3,70.24,29.33,N,560,390,0.1385,gardiner_seed,1.00
Berkeley,050410,41690474130472,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,469,75,15.99,85.42,64.11,74.76,15.03,N,371,303,0.2475,gardiner_seed,1.00
Berkeley,050055,19757131934553,MARK KEPPEL HIGH SCHOOL,Alhambra,Los Angeles,461,63,13.67,74.4,56.25,65.32,50.75,N,590,363,0.1736,gardiner_seed,1.00
Berkeley,050972,01611760138693,WASHINGTON HIGH SCHOOL,Fremont,Alameda,455,29,6.37,72.72,53.98,63.35,41.75,N,484,278,0.1043,gardiner_seed,1.00
Berkeley,052834,37683383730884,SCRIPPS RANCH HIGH,San Diego,San Diego,454,38,8.37,83.02,68.72,75.87,20.42,N,454,408,0.0931,gardiner_seed,1.00
Berkeley,050865,37683463737418,SAN DIEGUITO ACADEMY,Encinitas,San Diego,453,52,11.48,73.29,51.64,62.46,25.94,N,550,440,0.1182,gardiner_seed,1.00
Berkeley,050964,30665483032158,FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,449,46,10.24,82.29,60.84,71.57,53.33,N,814,543,0.0847,gardiner_seed,1.00
Berkeley,050527,19642121930056,CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,447,58,12.98,84.61,57.68,71.15,45.89,N,547,374,0.1551,gardiner_seed,1.00
Berkeley,052145,19647331936350,NORTH HOLLYWOOD HIGH SCHOOL,North Hollywood,Los Angeles,439,90,20.5,70.38,39.91,55.15,72.18,N,551,388,0.232,gardiner_seed,1.00
