ceeb,cds14,dv_name,cde_name,match_method,match_score
050372,07617210730457,FREEDOM HIGH SCHOOL,Freedom High,fuzzy_name_county,1.00
050375,07617210733980,LIBERTY HIGH SCHOOL,Liberty High,fuzzy_name_county,1.00
050378,30665143030855,BUENA PARK HIGH SCHOOL,Buena Park High,fuzzy_name_county,1.00
050379,30664313033115,JOHN F KENNEDY HIGH SCHOOL,John F. Kennedy High,gardiner_seed,1.00
050385,19643371931187,BURBANK HIGH SCHOOL,Burbank High,gardiner_seed,1.00
050386,07617210107797,HERITAGE HIGH SCHOOL,Heritage High,gardiner_seed,1.00
050394,34103480136275,REX & MARGARET FORTUNE ECHS,Fortune,fuzzy_name_county,0.94
050396,19101990136119,ANIMO CTY CHAMPIONS CHARTER HS,Animo City of Champions Charter High,fuzzy_name_county,0.98
050399,19647330135681,HORACE MANN UCLA COMMUNITY SCH,Horace Mann UCLA Community,fuzzy_name_county,0.94
050400,19643371931237,JOHN BURROUGHS HIGH SCHOOL,Burroughs High,gardiner_seed,1.00
050404,30665970111666,EARLY COLLEGE HIGH SCHOOL,Early College High,fuzzy_name_county,1.00
050410,41690474130472,BURLINGAME HIGH SCHOOL,Burlingame High,gardiner_seed,1.00
050411,37770990136077,GROSSMONT SECONDARY SCHOOL,Altus Schools East County,fuzzy_name_county,1.00
050412,37771070136473,ALTUS SCHOOLS SOUTH BAY-SWEETWATER,Altus Schools South Bay,fuzzy_name_county,0.94
050421,19646831931781,CALABASAS HIGH SCHOOL,Calabasas High,gardiner_seed,1.00
050425,13630991332204,CALEXICO HIGH SCHOOL,Calexico High,gardiner_seed,1.00
050430,13631071332501,CALIPATRIA HIGH SCHOOL,Calipatria High,fuzzy_name_county,1.00
050435,28662412831758,CALISTOGA JUNIOR SENIOR HIGH SCHOOL,Calistoga Junior-Senior High,fuzzy_name_county,1.00
050438,56725465631619,ADOLFO CAMARILLO HIGH SCHOOL,Adolfo Camarillo High,gardiner_seed,1.00
050440,40754654032009,COAST UNION HIGH SCHOOL,Coast Union High,fuzzy_name_county,1.00
050446,44698234437109,SANTA CRUZ ALTERNATIVE,Santa Cruz High,fuzzy_name_county,0.94
050448,37679830134890,SAN DIEGO WORKFORCE INNOVATION,San Diego Workforce Innovation High,fuzzy_name_county,1.00
050455,37682133734878,MOUNTAIN EMPIRE HIGH SCHOOL,Mountain Empire High,fuzzy_name_county,1.00
050465,19647331931476,CANOGA PARK HIGH SCHOOL,Canoga Park Senior High,fuzzy_name_county,1.00
050466,37683463730033,TORREY PINES HIGH SCHOOL,Torrey Pines High,gardiner_seed,1.00
050471,37735513731163,CARLSBAD SEASIDE ACADEMY,Carlsbad Seaside Academy,fuzzy_name_county,1.00
050472,37735513730694,CARLSBAD HIGH SCHOOL,Carlsbad High,gardiner_seed,1.00
050475,27659872730414,CARMEL HIGH SCHOOL,Carmel High,fuzzy_name_county,1.00
050489,27738252730034,NORTH MONTEREY COUNTY HIGH SCH,North Monterey County High,fuzzy_name_county,0.94
050490,42691464230587,CARPINTERIA HIGH SCHOOL,Carpinteria Senior High,fuzzy_name_county,1.00
050491,19647251995539,CALIFORNIA ACAD MATH & SCIENCE,California Academy of Mathematics and Science,gardiner_seed,1.00
050495,10755981030535,CARUTHERS HIGH SCHOOL,Caruthers High,fuzzy_name_county,1.00
050500,01611500132225,CASTRO VALLEY HIGH SCHOOL,Castro Valley High,gardiner_seed,1.00
050508,33671733330578,CATHEDRAL CITY HIGH SCHOOL,Cathedral City High,gardiner_seed,1.00
050512,19647330117911,NEW MILLENNIUM SECONDARY SCHL,New Millennium Secondary,fuzzy_name_county,0.94
050514,19651360117234,SCVI ILEAD'S FOUNDING SCHOOL,Santa Clarita Valley International,hand_verified,0.92
050519,19642121931641,TRACY HIGH SCHOOL,Tracy (Wilbur) High (Continuation),fuzzy_name_county,0.94
050520,45752674531901,CENTRAL VALLEY HIGH SCHOOL,Central Valley High,fuzzy_name_county,1.00
050525,50710435030879,CERES HIGH SCHOOL,Ceres High,fuzzy_name_county,1.00
050526,19642121931880,GRETCHEN WHITNEY HIGH SCHOOL,Whitney (Gretchen) High,gardiner_seed,1.00
050527,19642121930056,CERRITOS HIGH SCHOOL,Cerritos High,gardiner_seed,1.00
050528,19647331931708,CHATSWORTH CHARTER HIGH SCHOOL,Chatsworth Charter High,fuzzy_name_county,1.00
050535,32669693232006,CHESTER JUNIOR SENIOR HIGH SCHOOL,Chester Junior/Senior High,fuzzy_name_county,1.00
050545,04614240431676,CHICO HIGH SCHOOL,Chico High,fuzzy_name_county,1.00
050548,04614240437558,PLEASANT VALLEY SR HIGH SCHOOL,Pleasant Valley High,fuzzy_name_county,1.00
